participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1051,Optometrist,31,4,007-7146-400_1140x848,thinkaloud,0,3,4,2,33.919920000000275,2237,6,37,5,0,0,0,0
1051,Optometrist,31,4,007-7235-400_1140x848,thinkaloud,0,1,4,0,7.734860000000481,393,143,0,23,0,0,0,0
1051,Optometrist,31,4,20170502092649506_1140x848,thinkaloud,0,1,2,0,9.107420000000275,410,203,35,10,0,0,0,0
1051,Optometrist,31,4,20170518171333730_1140x848,thinkaloud,0,1,1,0,12.337400000000343,678,147,6,8,6,28,0,0
1051,Optometrist,31,4,20170519153000176_1140x848,thinkaloud,0,1,3,0,23.856440000000475,1444,109,0,58,0,0,0,0
1051,Optometrist,31,4,20170521094743135_1140x848,thinkaloud,0,2,2,1,12.101560000000063,741,7,95,11,0,0,0,0
1051,Optometrist,31,4,007-0051-000_1140x848,tracking,0,0,0,0,20.528809999999794,794,260,9,278,54,0,0,0
1051,Optometrist,31,4,007-0079-000_1140x848,tracking,1,0,1,0,9.994139999999788,722,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-0321-000_1140x848,tracking,0,0,0,0,7.624019999999291,143,0,0,408,0,0,0,0
1051,Optometrist,31,4,007-1811-100_1140x848,tracking,0,1,1,0,5.600099999999657,405,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-2403-100_1140x848,tracking,0,1,1,0,8.150880000000143,589,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-2705-100_1140x848,tracking,0,1,1,0,9.537109999999302,375,247,9,6,14,8,29,0
1051,Optometrist,31,4,007-2763-100_1140x848,tracking,0,1,1,0,6.224119999999857,446,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-2841-100_1140x848,tracking,0,1,1,0,8.705559999999423,619,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-4290-200_1140x848,tracking,0,1,2,0,19.91942999999992,1365,64,0,7,0,0,0,0
1051,Optometrist,31,4,007-4991-300_1140x848,tracking,0,2,3,1,10.67334000000028,771,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-6520-400_1140x848,tracking,0,3,4,2,11.076169999999365,799,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-7017-400_1140x848,tracking,0,2,4,1,12.27734000000055,626,173,4,6,71,0,0,0
1051,Optometrist,31,4,007-7175-400_1140x848,tracking,-1,1,3,0,14.583009999999376,895,0,0,0,0,0,0,0
1051,Optometrist,31,4,007-7265-400_1140x848,tracking,-1,1,3,0,23.385260000000017,1676,0,0,0,0,0,0,0
1051,Optometrist,31,4,20170228231807286_1140x848,tracking,0,0,0,0,14.610349999999926,785,63,191,12,0,0,0,0
1051,Optometrist,31,4,20170511224838938_1140x848,tracking,-1,1,1,0,17.091309999999794,910,0,0,0,0,0,0,0
1051,Optometrist,31,4,20170512231007763_1140x848,tracking,0,100,3,-1,14.01415999999972,1000,0,0,0,0,0,0,0
1051,Optometrist,31,4,20170525111826224_1140x848,tracking,0,1,2,0,3.2846700000000055,238,0,0,0,0,0,0,0
1051,Optometrist,31,4,20170609154552424_1140x848,tracking,0,1,1,0,5.683100000000195,411,0,0,0,0,0,0,0
1051,Optometrist,31,4,20170622080837660_1140x848,tracking,-1,2,2,1,18.588869999999588,1054,0,0,0,0,0,0,0
1210,Optometrist,51,30,007-0051-000_1140x848,thinkaloud,0,0,0,0,24.494019999999864,781,937,0,48,0,0,0,0
1210,Optometrist,51,30,007-0079-000_1140x848,thinkaloud,0,0,0,0,14.166870000000017,908,30,42,43,0,0,0,0
1210,Optometrist,51,30,007-0321-000_1140x848,thinkaloud,0,0,0,0,20.280030000000124,1029,421,0,9,0,0,0,0
1210,Optometrist,51,30,007-1811-100_1140x848,thinkaloud,0,2,1,1,59.97998000000007,2638,397,131,1077,43,0,0,0
1210,Optometrist,51,30,007-2403-100_1140x848,thinkaloud,1,1,2,0,28.721919999999955,716,469,81,626,0,0,0,0
1210,Optometrist,51,30,007-2705-100_1140x848,thinkaloud,-1,1,0,0,59.13513000000012,357,509,409,2980,0,0,0,0
1210,Optometrist,51,30,007-2763-100_1140x848,thinkaloud,1,2,2,1,22.81666000000041,580,768,5,259,34,0,0,0
1210,Optometrist,51,30,007-2841-100_1140x848,thinkaloud,0,1,1,0,22.95557000000008,85,0,0,1569,0,0,0,0
1210,Optometrist,51,30,007-4290-200_1140x848,thinkaloud,0,2,2,1,41.66906999999992,1668,40,1075,223,0,0,0,0
1210,Optometrist,51,30,007-4991-300_1140x848,thinkaloud,-1,4,2,3,57.80445000000009,3323,334,123,284,0,0,0,0
1210,Optometrist,51,30,007-6520-400_1140x848,thinkaloud,0,3,4,2,34.00318000000016,1398,990,32,14,0,0,0,0
1210,Optometrist,51,30,007-7017-400_1140x848,thinkaloud,-1,4,3,3,88.25878999999986,878,0,0,4586,0,0,0,0
1210,Optometrist,51,30,007-7175-400_1140x848,thinkaloud,0,4,4,3,40.89282000000003,782,1024,47,1077,0,0,0,0
